fecha,precipitacion_valor,temperatura_valor,nivel_agua_valor,presion_valor
2021-01-01,6.8,13.5,1014.4,83.84
2021-01-02,14.8,14,1014.9,85.12
2021-01-03,8.3,14.1,1015.3,80.12
2021-01-04,4.2,14.5,1013.9,80.52
2021-01-05,7.7,12.9,1013.3,85.78
2021-01-06,0.6,13.8,1015.8,79.91
2021-01-07,3.4,13.7,1013.5,87.86
2021-01-08,11.7,13.2,1013.9,84.36
2021-01-09,6.7,13.6,1013.6,85.29
2021-01-10,6,13.4,1014.1,85.76
2021-01-11,4.8,12.2,1013.7,83.73
2021-01-12,0.5,13.7,1013.5,84.38
2021-01-13,5.3,12.8,1014.7,79.86
2021-01-14,5.1,12.6,1013.8,76.35
2021-01-15,6.1,12.5,1013.6,84.14
2021-01-16,13.7,13.3,1015.4,76.81
2021-01-17,2.8,13,1014.8,85.09
2021-01-18,5.6,14.1,1015.3,90.26
2021-01-19,1.2,13.3,1015.3,84.23
2021-01-20,0,14.2,1013.9,83.73
2021-01-21,9.6,12.2,1015.8,80.36
2021-01-22,5.1,14.6,1015.5,80.28
2021-01-23,3.6,12.7,1014.9,80.89
2021-01-24,8.6,13.5,1013,82.24
2021-01-25,7.6,13.5,1015.3,84.87
2021-01-26,9.3,15.2,1014.6,79.5
2021-01-27,5.6,12.5,1013.6,79.37
2021-01-28,8.1,13.6,1014.1,81.72
2021-01-29,0,14.1,1014,81.04
2021-01-30,3.3,13.6,1015,81.32
2021-01-31,9.8,13.9,1015.2,83.71
2021-02-01,0,13.2,1014.5,79.89
2021-02-02,5.6,13.2,1013.5,80.1
2021-02-03,15.5,13.2,1013.6,84.32
2021-02-04,7.5,13.3,1014,86.13
2021-02-05,6.6,12.4,1015.5,83.05
2021-02-06,1.4,13.4,1014.7,82.21
2021-02-07,6.8,13.4,1013.6,91.74
2021-02-08,8.1,13.6,1015.4,79.41
2021-02-09,12.5,14.1,1014.7,77.99
2021-02-10,11.4,13.5,1015.8,79.48
2021-02-11,2.4,13.9,1014.2,84.61
2021-02-12,10.1,14,1014.6,82.17
2021-02-13,9.6,12.7,1013.9,85.28
2021-02-14,0,13.6,1013.8,81.59
2021-02-15,4,14,1014.1,86.39
2021-02-16,4.6,13.9,1013.9,85.41
2021-02-17,3.5,13.3,1014.7,81.56
2021-02-18,1.3,15,1015.1,80.93
2021-02-19,6.8,12.4,1014.2,82.85
2021-02-20,13.7,14.4,1014.3,84.93
2021-02-21,6.1,14.3,1013.8,83.64
2021-02-22,1.4,12.5,1014.4,84.99
2021-02-23,0,13.7,1014.2,82.13
2021-02-24,10.6,15.5,1013.8,82.44
2021-02-25,0,13.4,1015.8,83.35
2021-02-26,10.5,13.9,1014.8,82.57
2021-02-27,7.1,12.2,1015.1,81.76
2021-02-28,8.6,13.5,1016,84.19
2021-03-01,25,14,1012.9,92.13
2021-03-02,8.8,14.6,1014.3,91.56
2021-03-03,22.9,13.7,1012.6,83.18
2021-03-04,9.1,14.6,1013.9,88.21
2021-03-05,8.5,13.6,1013.9,83.2
2021-03-06,14.9,13.7,1015.4,88.74
2021-03-07,15.6,13.2,1014.2,89.57
2021-03-08,26.3,14.1,1015.7,90.44
2021-03-09,15,13.9,1013.4,87.65
2021-03-10,8.3,14.5,1015.3,92.86
2021-03-11,26.4,12.7,1014.8,96.37
2021-03-12,14.9,14.2,1014.5,84.03
2021-03-13,20.8,14,1016.3,89.3
2021-03-14,19.5,13.8,1014.6,88.28
2021-03-15,11.8,12.9,1014.4,92.85
2021-03-16,2,13.8,1013.3,87.01
2021-03-17,5.3,13.9,1014.1,92.92
2021-03-18,19.1,13.3,1013,88.73
2021-03-19,10,13.1,1013,89.73
2021-03-20,0,14.1,1014,92.19
2021-03-21,31.2,13.3,1014,80.44
2021-03-22,14.6,14.2,1014.4,89.63
2021-03-23,22.2,14.5,1013,90.97
2021-03-24,6.7,13.7,1014.3,90.66
2021-03-25,12.4,14.7,1014.3,89.93
2021-03-26,8.9,14,1014.6,93.56
2021-03-27,11.8,13.6,1015.1,95.02
2021-03-28,20.8,14.1,1013.7,87.16
2021-03-29,19,14.3,1015.4,94.93
2021-03-30,8.6,14.6,1014.2,93.65
2021-03-31,19.6,14,1013.5,85.46
2021-04-01,16.3,14.7,1014.8,88.66
2021-04-02,7.5,14.3,1013.7,92.18
2021-04-03,22.7,14.9,1014.8,89.18
2021-04-04,30.1,15.9,1013,91.82
2021-04-05,0,13.7,1015.3,93.9
2021-04-06,9,13.3,1013.6,90.38
2021-04-07,0,15.6,1014.8,91.12
2021-04-08,30.1,13.7,1014,93.13
2021-04-09,0.7,14.8,1013.6,90.86
2021-04-10,0,15.2,1014.4,92.3
2021-04-11,16.3,14.2,1015.8,90.57
2021-04-12,6.3,14.5,1014.9,94.7
2021-04-13,7.7,15,1014.9,96.22
2021-04-14,4.4,14.6,1012.5,93.38
2021-04-15,12.3,14.8,1015.7,87.06
2021-04-16,5.6,14.1,1014.2,90.36
2021-04-17,26.1,14,1016.3,96.83
2021-04-18,15.5,14.4,1014.3,88.78
2021-04-19,5,15.1,1014.5,94.57
2021-04-20,15.7,14.1,1014,95.34
2021-04-21,0,14,1015,92.03
2021-04-22,9.3,14.2,1013.8,89.41
2021-04-23,5.9,13.5,1013.7,86.7
2021-04-24,19.2,13.1,1014.9,90.12
2021-04-25,7.2,14.7,1015.2,95.46
2021-04-26,9,14,1015.5,87.64
2021-04-27,6.1,13.5,1012.8,92.88
2021-04-28,14.1,13.9,1014.1,88.57
2021-04-29,14.1,13.5,1013.6,94.54
2021-04-30,22.9,14.2,1013.2,88.35
2021-05-01,18,13.5,1014.9,84.66
2021-05-02,6.7,13.7,1015.4,78.59
2021-05-03,14.7,14.1,1015.2,81.03
2021-05-04,3.1,13.9,1013.9,83.29
2021-05-05,2.4,15.3,1014.2,85.15
2021-05-06,4.1,13.5,1013.7,86.7
2021-05-07,15.6,14,1015,82.85
2021-05-08,8.9,13.3,1016.9,83.41
2021-05-09,0,15.6,1013.6,82.62
2021-05-10,3.9,14,1013.9,81.81
2021-05-11,2.6,14.7,1013.9,90.2
2021-05-12,9.6,14,1015.4,81.85
2021-05-13,0,14.6,1014.8,77.07
2021-05-14,0,14.4,1013.7,84.99
2021-05-15,9.5,12.5,1015.4,83.76
2021-05-16,5.5,14.5,1014.6,83.1
2021-05-17,7.3,14.8,1014.7,86.61
2021-05-18,0,15.1,1015.6,81.03
2021-05-19,10.6,14.9,1014.9,80.15
2021-05-20,2.4,13.5,1014.8,86.05
2021-05-21,3.4,14.3,1013.8,82.65
2021-05-22,1.2,15.7,1014.5,86.02
2021-05-23,5.2,13.2,1013.7,88.35
2021-05-24,12.5,15.6,1014.1,79.59
2021-05-25,7.9,13.8,1013.1,83.67
2021-05-26,3.9,13.7,1013.7,86.3
2021-05-27,12,14.3,1014.6,85.07
2021-05-28,4.8,14.6,1013.8,84.45
2021-05-29,10.1,15,1015.4,82.24
2021-05-30,5.8,14,1013.4,86.01
2021-05-31,11.4,14.5,1013.6,85.65
2021-06-01,2.7,14.2,1015,70.13
2021-06-02,1.1,14.9,1015,67.78
2021-06-03,0,13,1015.1,65.03
2021-06-04,0.5,14.2,1014.8,82.78
2021-06-05,0.7,13.3,1015.6,72.33
2021-06-06,1.8,13.5,1014.5,73.44
2021-06-07,0.2,13.1,1013.7,73.51
2021-06-08,0,14,1014.1,81.96
2021-06-09,1.3,13.7,1014.9,71.29
2021-06-10,0.6,13.9,1015.2,72.78
2021-06-11,2.9,13.8,1014.8,73.75
2021-06-12,0,14.4,1013.9,71.08
2021-06-13,3.1,14.5,1014,75.63
2021-06-14,1.2,13.9,1014.4,67.54
2021-06-15,1.2,14.5,1014.2,71.43
2021-06-16,0.5,13,1015.8,72.16
2021-06-17,4.6,13.7,1013.6,70.78
2021-06-18,2.8,14,1014.7,74.3
2021-06-19,0,13.7,1014.5,71.65
2021-06-20,2.4,15.1,1015,73.1
2021-06-21,3.8,13,1014.6,71.45
2021-06-22,0.2,12.4,1015.1,70.59
2021-06-23,0.5,13.9,1015.7,75.2
2021-06-24,0,13.2,1015.6,71.03
2021-06-25,1.1,12.7,1014,69.21
2021-06-26,0.8,13.8,1014,77.03
2021-06-27,3.6,13.6,1015.6,76.56
2021-06-28,5,13.3,1014,72.42
2021-06-29,0,13.8,1013.4,78.7
2021-06-30,1.6,13.6,1013.9,72.33
2021-07-01,1.4,14.3,1013.2,72.17
2021-07-02,2.8,14.1,1015.1,79.53
2021-07-03,0,14.3,1014.5,63.29
2021-07-04,0,12.7,1014.3,66.51
2021-07-05,0,12.5,1014.4,67.33
2021-07-06,1.2,14.1,1014.2,65.48
2021-07-07,0,12.7,1014.9,74.74
2021-07-08,1.5,13.5,1014.2,74.5
2021-07-09,0.8,11.9,1015.3,68.14
2021-07-10,2.4,14.1,1014.9,69.72
2021-07-11,1.6,13.2,1015.9,63.53
2021-07-12,2.7,13.3,1016,62.74
2021-07-13,1.9,12.1,1014.2,64.6
2021-07-14,0,14.1,1014.4,66.81
2021-07-15,7,13.2,1014.4,73.1
2021-07-16,1.8,12.9,1014.5,75.57
2021-07-17,5.4,14.3,1013.2,68.05
2021-07-18,0,13.6,1015.4,74.44
2021-07-19,1.1,14.4,1013.6,69.94
2021-07-20,0.6,12.5,1013.8,66.38
2021-07-21,0,12.8,1014.7,73.06
2021-07-22,0,13.2,1014.1,85.65
2021-07-23,0,13.3,1014.2,75.72
2021-07-24,2.5,13.7,1016.2,60.67
2021-07-25,0,14.1,1015.3,76.34
2021-07-26,2.3,13.7,1014.5,65.2
2021-07-27,0,12.7,1014.3,80.68
2021-07-28,3.2,12.8,1014,74.35
2021-07-29,5,13.7,1015.1,70.6
2021-07-30,0.6,12.7,1013.9,74.13
2021-07-31,5.2,13.2,1015.4,80.09
2021-08-01,4.9,13,1013.6,74.18
2021-08-02,1,12.9,1014.5,72.63
2021-08-03,2.7,15.1,1014.9,67.03
2021-08-04,2.2,13.4,1014.2,82.34
2021-08-05,0,14.1,1015.8,78.97
2021-08-06,0,13.5,1016.1,64.75
2021-08-07,4,14.3,1014.1,75.77
2021-08-08,2.3,13.1,1015.6,77.35
2021-08-09,5.1,13.4,1014.8,63.94
2021-08-10,2.4,14.6,1013.9,70.22
2021-08-11,0,14,1014.3,68.42
2021-08-12,2.7,13.3,1013.9,76.02
2021-08-13,1.4,13.6,1016.7,74.89
2021-08-14,1.8,13.5,1015.8,68.42
2021-08-15,1.9,13.9,1014.8,75.69
2021-08-16,0.6,13.6,1014.3,69.27
2021-08-17,3.2,12.8,1014.2,70.08
2021-08-18,0,14,1013.3,74.37
2021-08-19,1.1,13.3,1015.3,69.39
2021-08-20,2.9,13.5,1015.1,66.73
2021-08-21,3.3,12.9,1014.4,69.99
2021-08-22,3,13.7,1015.6,69.02
2021-08-23,0,14.3,1014,72.02
2021-08-24,0,12.7,1014.2,69.57
2021-08-25,5.1,12.9,1014,63.78
2021-08-26,0,12.7,1013.6,72.28
2021-08-27,0,12.9,1014.9,75.37
2021-08-28,0.1,13.5,1014.1,64.34
2021-08-29,0,12.8,1013,68.85
2021-08-30,4.7,13.5,1013.5,74.4
2021-08-31,2.3,13.4,1013.3,68.45
2021-09-01,16.3,13.6,1014.2,69.31
2021-09-02,8.2,13.2,1014.9,69.07
2021-09-03,2.1,13.8,1013.8,78.24
2021-09-04,8,13.8,1014.7,67.92
2021-09-05,9.6,12.2,1014.2,79.39
2021-09-06,13.2,13.7,1015.2,70.75
2021-09-07,9.4,14.2,1015,74.47
2021-09-08,5.6,13.8,1014.8,64.29
2021-09-09,10.9,14.2,1014.5,76.61
2021-09-10,0,14.6,1013.8,80.78
2021-09-11,7.6,14.8,1013.9,74.23
2021-09-12,9.3,12.2,1014.1,70.89
2021-09-13,3.8,12.7,1014.8,68.01
2021-09-14,4.9,14.3,1014.4,67.28
2021-09-15,7,12.4,1014.7,80.22
2021-09-16,1.7,13.4,1015.6,66.01
2021-09-17,5.1,13.1,1013.8,74.73
2021-09-18,7.5,13,1014.9,72.37
2021-09-19,4.6,13,1013.3,79.76
2021-09-20,5.8,13.5,1014.4,73.69
2021-09-21,12,13.1,1014.6,78.84
2021-09-22,7.6,13.6,1015.5,69.06
2021-09-23,8.2,14.6,1013.7,65.6
2021-09-24,2.8,12.3,1014.1,69.01
2021-09-25,5.1,13.9,1014.2,71.9
2021-09-26,9.2,13.6,1013.8,65.51
2021-09-27,5.5,13.6,1013.1,65.95
2021-09-28,1.4,13.9,1015.4,70.29
2021-09-29,0,14.8,1015.2,69.61
2021-09-30,1.2,14.1,1015.1,70.23
2021-10-01,14.7,13,1015.2,94.2
2021-10-02,14.8,12.5,1015.6,93.82
2021-10-03,4.7,14.1,1015.3,95.27
2021-10-04,2.6,13.9,1014,89.48
2021-10-05,21.9,14.1,1014.8,87.99
2021-10-06,8.7,13.8,1014.4,82.02
2021-10-07,25.6,13.8,1014.2,97.51
2021-10-08,11.8,13.9,1015.4,89.98
2021-10-09,13.4,13.8,1014.6,92.38
2021-10-10,8.9,12.5,1015,87.79
2021-10-11,7.7,14.8,1015.1,91.36
2021-10-12,20.8,13.6,1013.9,94.38
2021-10-13,17.9,14.7,1014.5,91.89
2021-10-14,14.3,13.9,1014.7,87.14
2021-10-15,8.2,12.9,1015.8,86.55
2021-10-16,30.8,14.1,1014.9,83.87
2021-10-17,17.5,13.7,1015.6,86.71
2021-10-18,0,12.5,1014.1,92.11
2021-10-19,0,14,1015.1,92.98
2021-10-20,32.8,13.5,1014.1,87.35
2021-10-21,20.1,13.1,1014,87.49
2021-10-22,0,14.4,1015.4,92.55
2021-10-23,32.9,13.9,1013.2,94.89
2021-10-24,8.3,13.9,1014.6,91.01
2021-10-25,13.8,13.3,1014.2,93.61
2021-10-26,11.8,13.7,1015.7,93.58
2021-10-27,0,13.1,1015.9,91
2021-10-28,12.2,12,1015.3,90.3
2021-10-29,12.9,14.1,1015.3,92.46
2021-10-30,17.8,12.2,1013.4,91.32
2021-10-31,0,13.5,1014.5,87.56
2021-11-01,27.3,15.2,1014,82.72
2021-11-02,7,13.6,1015.2,95.79
2021-11-03,22.4,12.6,1013.2,87.9
